,Average Rt(min),Average Mz,mass_round,pos_DIWB_1,pos_DIWB_2,pos_no injection_1,pos_no injection_2,pos_no injection_3,pos_no injection_4,pos-octl,pos_butac,pos_chlor,pos_chx,pos_dcm,pos_glyctriol,pos_hx,pos_octn,pos_olalc,pos_tol,pos_undec,pos-octlW,pos_butacW,pos_chlorW,pos_chxW,pos_dcmW,pos_glyctriolW,pos_hxW,pos_octnW,pos_olalcW,pos_tolW,pos_undecW,pos-octlM,pos_butacM,pos_chlorM,pos_chxM,pos_dcmM,pos_glyctriolM,pos_hxM,pos_octnM,pos_olalcM,pos_tolM,pos_undecM,pos-octlR_log,pos_butacR_log,pos_chlorR_log,pos_chxR_log,pos_dcmR_log,pos_glyctriolR_log,pos_hxR_log,pos_octnR_log,pos_olalcR_log,pos_tolR_log,pos_undecR_log,zeros,W_average,W_std,W_Rstd,W_Rstd_flag,Average,Stdev,Aliquot_Plate_Barcode,Aliquot_Well_ID,Aliquot_Concentration,Aliquot_Concentration_Unit,Target_Concentration,Target_Concentration_Unit,Aliquot_Solvent,DTXSID,CASRN,Preferred_Name,Smiles,Indigo_Inchi_Key,Mol_Formula,Monoisotopic_Mass,Relationship,MS_Ready_DTXCID,MS_Ready_Smiles,MS_Ready_Inchikey,MS_Ready_Mol_Formula,MS_Ready_Monoisotopic_Mass,octl,butac,chlor,chx,dcm,glyctriol,hx,octn,olalc,tol,undec,Mass_diff,Mass_flag
78,4.935,136.08821496809998,136.0,4146,4012,3395,2135,3024,1291,2851.5,3527.0,4561.5,3645.5,3215.0,21294.5,3897.0,2731.0,36677.5,5203.5,2768.0,5754.5,3469.5,2689.5,3428.5,3390.0,9433.5,3892.5,2950.5,16545.5,4037.0,3957.0,2903.0,-57.5,-1872.0,-217.0,175.0,-11861.0,-4.5,219.5,-20132.0,-1166.5,1189.0,0.007773659910549342,,,,-1.2641429285739465,,,-1.0948871755615932,,,-0.36698423116602863,7,5413.454545454545,3952.3082867342764,73.00898628682246,0,6307.02373429841,7630.83620413663,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,4.409163971142715,0
79,11.413,136.08821496809998,136.0,21430,25003,23702,23519,23252,21830,24175.5,21458.5,26443.0,24831.0,25643.5,26301.5,24697.5,23425.0,22647.5,24785.0,22370.5,23102.5,22586.5,24650.5,23718.5,22875.0,24151.0,20953.5,22720.0,26646.0,20393.5,22701.5,-1073.0,1128.0,-1792.5,-1112.5,-2768.5,-2150.5,-3744.0,-705.0,3998.5,-4391.5,331.0,,-1.2792902608301864,,,,,,,-0.7531231679766558,,-1.8298476972862314,8,23136.227272727272,1623.7160852870293,7.018067665686566,1,23734.5729166667,2279.87253083635,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,4.409163971142715,0
80,4.644,136.0882949681,136.0,4894,1506,3166,4232,2969,2013,5032.5,2856.0,2317.5,4136.0,3439.0,45765.0,3949.5,2729.0,10431.0,4159.5,2698.0,5873.0,5094.5,4217.5,2387.5,4512.0,28552.0,3785.5,4244.0,5478.5,2491.5,3429.0,840.5,2238.5,1900.0,-1748.5,1073.0,-17213.0,-164.0,1515.0,-4952.5,-1668.0,731.0,-0.7772460657852023,-0.10580110438467291,-0.08626614186370575,,-0.5058324538560623,,,-0.2555909028315727,,,-0.567124568378025,5,6369.545454545455,7093.834001359418,111.37111826868423,0,6600.95592064951,9526.3906786044,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,3.8213125740836253,0
81,5.163,136.0883849681,136.0,6316,4965,1392,3368,4347,2526,7124.0,16619.0,9185.0,11238.0,11115.0,116010.0,9938.0,7791.0,91684.0,8072.5,8509.0,7424.5,10200.0,8435.0,6452.0,9004.5,57668.5,7413.5,10643.0,33642.5,5775.5,12414.5,300.5,-6419.0,-750.0,-4786.0,-2110.5,-58341.5,-2524.5,2852.0,-58041.5,-2297.0,3905.5,-1.3748794344524475,,,,,,,-0.4364436831691372,,,-0.33820188151509895,8,15370.318181818182,15277.706868138304,99.39746651575874,0,18834.8875708487,27665.2376985182,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,3.159979752600996,0
82,4.525,136.08841496809998,136.0,3188,2402,1935,1466,2298,6495,4579.0,3319.0,2373.5,3595.0,2396.0,18256.0,4881.0,4210.5,374011.5,2382.5,5401.5,3626.5,2573.5,3418.5,4658.5,3517.0,11386.0,5229.5,3968.0,159963.0,4181.0,3952.5,-952.5,-745.5,1045.0,1063.5,1121.0,-6870.0,348.5,-242.5,-214048.5,1798.5,-1449.0,,,-0.35627294560730605,-0.5289614004801536,-0.3298812011223006,,-1.146306025222493,,,-0.12212246715583408,,6,18770.363636363636,44705.03070434981,238.1681653611825,0,25207.6103348078,77484.6643759007,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,2.9395354789126844,0
83,1.993,136.0884249681,136.0,246,685,245,551,314,250,444.5,765.5,951.5,795.5,256.0,600.0,390.5,167.0,31092.0,350.5,230.5,610.0,446.5,182.5,752.5,385.0,475.5,371.0,562.0,7654.0,243.5,431.5,165.5,-319.0,-769.0,-43.0,129.0,-124.5,-19.5,395.0,-23438.0,-107.0,201.0,-0.42907376719449497,,,,-0.29765025501260056,,,0.373880624478877,,,-0.059474872305178055,7,1101.2727272727273,2077.7439181131535,188.66751774182507,0,1947.76222064448,6118.54571103992,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,2.866054054280298,0
84,4.314,136.0887449681,136.0,2198,2206,2734,1254,2333,3261,3509.5,33176.0,15550.0,4303.5,7906.0,34272.5,9680.0,2217.5,30215.0,11148.0,6435.5,4751.5,7167.0,2671.5,4537.5,4946.5,8413.0,5718.5,5064.5,17347.5,2813.0,4250.5,1242.0,-26009.0,-12878.5,234.0,-2959.5,-25859.5,-3961.5,2847.0,-12867.5,-8335.0,-2185.0,-0.4511236509076706,,,-1.2646059498915367,,,,0.10852383864319112,,,,8,6152.818181818182,3881.7976346060414,63.08975041838397,0,9206.18710027957,9884.26344677154,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0044571,618-45-1,3-Isopropylphenol,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2D-QSAR-Ready,DTXCID8024571,CC(C)C1=CC=CC(O)=C1,VLJSLTNSFSOYQR-UHFFFAOYSA-N,C9H12O,136.08881500599998,2.71,3,1.6,0.42,1.89,0.82,0.36,0.26,2.46,1.59,0.39,0.5146484666704798,0
91,0.936,138.0419649681,138.0,2943,2779,1810,1155,924,1839,9220.5,5535.0,19759.5,3046.5,2970.0,4530.5,3346.5,13352.0,7312.0,11353.5,16036.0,9524.0,18073.0,3827.5,7663.0,25212.5,8027.0,5259.0,16123.5,12865.5,8701.5,8912.5,303.5,12538.0,-15932.0,4616.5,22242.5,3496.5,1912.5,2771.5,5553.5,-2652.0,-7123.5,-1.4825957767652622,0.35511064028819844,,0.18051165743615294,0.8744271499230902,-0.11251260216460704,-0.24298938551386373,-0.6828314407427102,-0.11946940652217734,,,3,11289.90909090909,6007.766015062132,53.21359070906719,0,8900.24028344248,6239.45976277323,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8020961,100-01-6,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,138.042927441,2D-QSAR-Ready,DTXCID40961,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,138.042927441,1.23,1.96,1.58,-0.31,1.75,0.52,-0.53,-0.61,0.87,1.13,-0.56,6.972272450617766,0
92,0.793,138.0422649681,138.0,2405,4006,1691,2176,805,567,36384.0,16081.0,104068.5,6506.0,11712.5,19474.0,10020.5,45793.5,27751.5,47311.0,47281.0,27103.0,69001.0,8676.0,22296.5,96991.5,26855.5,12229.5,51776.5,39155.0,29028.0,22926.5,-9281.0,52920.0,-95392.5,15790.5,85279.0,7381.5,2209.0,5983.0,11403.5,-18283.0,-24354.5,,0.517306783579506,,0.38508182304491506,0.8621924951854874,-0.4213105415805224,-0.6566936765004393,-0.883884835107952,-0.3862482953040911,,,4,36912.63636363636,25118.711475431028,68.0490854892612,0,30784.9577792299,26988.3876734906,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8020961,100-01-6,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,138.042927441,2D-QSAR-Ready,DTXCID40961,NC1=CC=C(C=C1)[N+]([O-])=O,TYMLOMAKGOJONV-UHFFFAOYSA-N,C6H6N2O2,138.042927441,1.23,1.96,1.58,-0.31,1.75,0.52,-0.53,-0.61,0.87,1.13,-0.56,4.799035432457744,0
118,11.412,146.07219496809998,146.0,24690,25515,25531,25065,22984,22126,26947.0,23920.0,25934.5,24927.0,24236.5,24301.5,25008.5,26250.5,25959.0,22892.0,24543.0,25496.5,25463.0,23193.0,24791.5,25530.5,26774.0,24305.0,24506.0,24782.0,25202.0,24881.0,-1450.5,1543.0,-2741.5,-135.5,1294.0,2472.5,-703.5,-1744.5,-1177.0,2310.0,338.0,,-1.190395249253225,,,-1.2725356270973998,-0.9924967808030646,,,,-0.996071757344207,-1.8610109471033,6,24993.136363636364,854.248236513706,3.417931323563657,1,24999.9746859681,1553.27919465605,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID1031626,1896-62-4,Methyl trans-styryl ketone,CC(=O)\C=C\C1=CC=CC=C1,BWHOZHOGCMHOBV-BQYQJAHWSA-N,C10H10O,146.07316494200003,2D-QSAR-Ready,DTXCID9011626,CC(=O)\C=C\C1=CC=CC=C1,BWHOZHOGCMHOBV-BQYQJAHWSA-N,C10H10O,146.07316494200003,2.07,2.44,3.21,1.89,3.15,2.19,1.63,1.65,1.83,2.68,1.54,6.640329183258295,0
119,5.495,146.0731549681,146.0,20103,24533,1457,1423,1226,3612,3461.0,3370.5,3227.5,13335.5,2591.0,12713.0,15002.5,12162.0,7942.0,7964.0,14671.0,10014.0,12477.5,4766.5,14293.0,3663.5,16727.0,15166.0,14542.5,14670.5,11825.5,17025.5,6553.0,9107.0,1539.0,957.5,1072.5,4014.0,163.5,2380.5,6728.5,3861.5,2354.5,0.27723856866201096,0.4316810051010329,-0.32162763110697923,-1.1438705210875257,-0.38307011212906295,-0.5006706788389775,-1.9626458784418293,-0.708336813266123,-0.07201162598251452,-0.3143752121809816,-0.7945610223147422,0,12288.318181818182,4280.8927131484625,34.83709202356494,0,10426.8751160865,5829.8650885041,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID1031626,1896-62-4,Methyl trans-styryl ketone,CC(=O)\C=C\C1=CC=CC=C1,BWHOZHOGCMHOBV-BQYQJAHWSA-N,C10H10O,146.07316494200003,2D-QSAR-Ready,DTXCID9011626,CC(=O)\C=C\C1=CC=CC=C1,BWHOZHOGCMHOBV-BQYQJAHWSA-N,C10H10O,146.07316494200003,2.07,2.44,3.21,1.89,3.15,2.19,1.63,1.65,1.83,2.68,1.54,0.06828016657765743,0
150,6.231,150.10353496809998,150.0,7294,4369,1457,3948,2223,6148,7078.5,50937.0,4811.0,4970.5,3599.5,5744.0,3921.5,7061.5,16564.0,3114.5,4959.0,4555.0,22415.0,5570.0,5372.0,3777.0,3981.5,3965.0,4493.5,8093.5,3951.0,4627.0,-2523.5,-28522.0,759.0,401.5,177.5,-1762.5,43.5,-2568.0,-8470.5,836.5,-332.0,,,-0.8019935810070838,-1.0927145285187903,-1.3070438205089472,,-1.954962962391472,,,-0.5709223899117466,,6,6436.409090909091,5186.675786957217,80.58337675091191,0,7781.98184024586,10103.0293563322,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3047425,1638-22-8,4-Butylphenol,CCCCC1=CC=C(O)C=C1,CYYZDBDROVLTJU-UHFFFAOYSA-N,C10H14O,150.104465071,2D-QSAR-Ready,DTXCID1027425,CCCCC1=CC=C(O)C=C1,CYYZDBDROVLTJU-UHFFFAOYSA-N,C10H14O,150.104465071,3.59,3.69,2.88,1.8,3.05,1.91,1.7,1.62,3.23,2.81,1.73,6.196370638103405,0
