,Average Rt(min),Average Mz,mass_round,neg_DIWB_1,neg_DIWB_2,neg_no injection_1,neg_no injection_2,neg_no injection_3,neg_no injection_4,neg-octl,neg_butac,neg_chlor,neg_chx,neg_dcm,neg_glyctriol,neg_hx,neg_octn,neg_olalc,neg_tol,neg_undec,neg-octlW,neg_butacW,neg_chlorW,neg_chxW,neg_dcmW,neg_glyctriolW,neg_hxW,neg_octnW,neg_olalcW,neg_tolW,neg_undecW,neg-octlM,neg_butacM,neg_chlorM,neg_chxM,neg_dcmM,neg_glyctriolM,neg_hxM,neg_octnM,neg_olalcM,neg_tolM,neg_undecM,neg-octlR_log,neg_butacR_log,neg_chlorR_log,neg_chxR_log,neg_dcmR_log,neg_glyctriolR_log,neg_hxR_log,neg_octnR_log,neg_olalcR_log,neg_tolR_log,neg_undecR_log,zeros,W_average,W_std,W_Rstd,W_Rstd_flag,Average,Stdev,Aliquot_Plate_Barcode,Aliquot_Well_ID,Aliquot_Concentration,Aliquot_Concentration_Unit,Target_Concentration,Target_Concentration_Unit,Aliquot_Solvent,DTXSID,CASRN,Preferred_Name,Smiles,Indigo_Inchi_Key,Mol_Formula,Monoisotopic_Mass,Relationship,MS_Ready_DTXCID,MS_Ready_Smiles,MS_Ready_Inchikey,MS_Ready_Mol_Formula,MS_Ready_Monoisotopic_Mass,octl,butac,chlor,chx,dcm,glyctriol,hx,octn,olalc,tol,undec,Mass_diff,Mass_flag,chem_id,predicted_1-octanol,predicted_butyl acetate,predicted_chloroform,predicted_cyclohexane,predicted_dichloromethane,predicted_triolein,predicted_n-hexane,predicted_n-octane,predicted_oleylalcohol,predicted_toluene,predicted_n-undecane,imputed_1-octanol,imputed_butyl acetate,imputed_chloroform,imputed_cyclohexane,imputed_dichloromethane,imputed_triolein,imputed_n-hexane,imputed_n-octane,imputed_oleylalcohol,imputed_toluene,imputed_n-undecane,1-octanol_db_std,butyl acetate_db_std,chloroform_db_std,cyclohexane_db_std,dichloromethane_db_std,triolein_db_std,n-hexane_db_std,n-octane_db_std,oleylalcohol_db_std,toluene_db_std,n-undecane_db_std,1-octanol_exp_std,butyl acetate_exp_std,chloroform_exp_std,cyclohexane_exp_std,dichloromethane_exp_std,triolein_exp_std,n-hexane_exp_std,n-octane_exp_std,oleylalcohol_exp_std,toluene_exp_std,n-undecane_exp_std,Correlation_R2
56,14.496,492.0974250319,492,649,284,1226,534,401,568,499,108,373.5,245.5,184.5,323,481.5,260.5,341,308.5,603,441.5,393,265,208,383,105,315,278,124,327,584.5,-57.5,285,-108.5,-37.5,198.5,-218,-166.5,17.5,-217,18.5,-18.5,,0.421421104521561,,,0.0317641406040546,,,-1.17276967894925,,-1.22208343996625,,7,311.272727272727,133.222534886756,42.7992956703947,0,4321.5943663354,28296.6242811281,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID9022817,1260-17-9,Carminic acid,CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O,DGQLVPJVXFOQEV-JNVSTXMASA-N,C22H20O13,492.090390704,2D-QSAR-Ready,DTXCID00209218,CC1=C2C(=O)C3=C(C(O)=C(O)C(C4OC(CO)C(O)C(O)C4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O,DGQLVPJVXFOQEV-UHFFFAOYSA-N,C22H20O13,492.090390704,-0.97,0.17,-9.68,-17.84,-9.54,-13.07,-18.49,-18.64,-3.98,-11.8,-17.89,14.29,0,492.097@14.496,0.69,-2.48,0.17,-1.21,-1.31,-0.67,-1.11,,-0.11,-0.40,-1.35,0.69,0.42,0.17,-1.21,0.03,-0.67,-1.11,-1.17,-0.11,-1.22,-1.35,1.51,1.68,0.21,-1.01,0.23,-0.30,-1.11,-1.13,1.06,-0.11,-1.02,1.65,1.28,0.94,-0.98,0.74,-0.23,-0.84,-0.93,0.54,-0.99,-1.17,0.81
44,9.036,323.1276050319,323,591,102,162,102,317,116,275.5,2303,281.5,45324.5,2290,21726.5,43789.5,38270.5,697.5,32944,42360,30681.5,45329,50243,45489.5,45919,47220.5,46880,44736.5,41694,45433,44867,30406,43026,49961.5,165,43629,25494,3090.5,6466,40996.5,12489,2507,2.04283768797941,1.27143703492113,2.24915706958486,-2.43884907763387,1.27993977649935,0.0694482115775618,-1.15134123840425,-0.772228435997105,1.7692025692724,-0.421248663667516,-1.22780161747723,0,44408.4545454545,4762.74351538989,10.7248576068211,1,28225.5467396156,20436.3465030488,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4047254,220860-50-4,CP-457920,CCOC1=NC2=C(NC=C(C(=O)NCC3=CC=CC=C3)C2=O)C=C1,DGFVZQGXKQCQGK-UHFFFAOYSA-N,C18H17N3O3,323.126991419,2D-QSAR-Ready,DTXCID2027254,CCOC1=NC2=C(NC=C(C(=O)NCC3=CC=CC=C3)C2=O)C=C1,DGFVZQGXKQCQGK-UHFFFAOYSA-N,C18H17N3O3,323.126991419,1.97,2.21,1.04,-2.74,0.58,-1.31,-3.31,-3.22,0.56,-0.56,-3.21,1.90,0,323.128@9.036,1.69,1.24,0.27,-0.71,0.35,-0.59,-1.05,-1.36,0.73,0.08,-1.13,2.04,1.27,2.25,-2.44,1.28,0.07,-1.15,-0.77,1.77,-0.42,-1.23,1.32,1.44,0.87,-0.99,0.64,-0.29,-1.27,-1.22,0.63,0.08,-1.22,1.21,0.69,1.34,-1.80,0.69,-0.12,-0.93,-0.68,1.02,-0.44,-0.98,0.80
16,8.459,214.0633650319,214,176,1103,577,193,409,151,762,348.5,3942.5,64539.5,4506.5,1175,71085.5,65833.5,1692.5,11888,68028,63608.5,74328,82882,74097,78318.5,80324,78993,77206,65446,80687.5,74140,62846.5,73979.5,78939.5,9557.5,73812,79149,7907.5,11372.5,63753.5,68799.5,6112,1.91632612495426,2.32690860931995,1.30152266926139,-0.829481289826432,1.21428759766888,1.82840756557577,-0.953741821911322,-0.762590999219133,1.57597535471292,0.762476485597645,-1.04650435747096,0,75457.3181818182,5841.79864609245,7.74185829400449,1,44138.6496255912,35617.0982557164,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8022406,131-56-6,"2,4-Dihydroxybenzophenone",OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,ZXDDPOHVAMWLBH-UHFFFAOYSA-N,C13H10O3,214.062994182,2D-QSAR-Ready,DTXCID402406,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,ZXDDPOHVAMWLBH-UHFFFAOYSA-N,C13H10O3,214.062994182,3.34,3.6,1.82,-0.21,1.89,0.54,-0.51,-0.53,2.39,1.48,-0.38,1.73,0,214.063@8.459,1.55,1.80,1.72,-0.38,1.49,0.04,-0.78,-0.79,0.55,0.84,-0.76,1.92,2.33,1.30,-0.83,1.21,1.83,-0.95,-0.76,1.58,0.76,-1.05,1.45,1.63,0.41,-0.98,0.46,-0.47,-1.18,-1.20,0.80,0.18,-1.09,1.00,1.33,0.51,-1.20,0.44,0.93,-1.30,-1.15,0.73,0.08,-1.38,0.79
45,9.727,342.0326350319,342,314,292,114,156,181,0,133,146.5,217,359.5,225,256.5,784.5,543.5,160.5,104,561,14131.5,25168,27094,26440,24395.5,23023,26711.5,23848.5,16090,24958.5,24691,13998.5,25021.5,26877,26080.5,24170.5,22766.5,25927,23305,15929.5,24854.5,24130,2.02222986066658,2.23247571672627,2.09292105746195,1.86061701845906,2.03110311636724,1.94820890018701,1.51915931975959,1.63224955884629,1.99672710750664,2.37837169152667,1.63359446065262,0,23322.8636363636,4064.08593150756,17.4253299031903,0,10222.5180584777,11843.8405724113,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID6034392,188425-85-6,Boscalid,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,WYEMLYFITZORAB-UHFFFAOYSA-N,C18H12Cl2N2O,342.0326684,2D-QSAR-Ready,DTXCID4014392,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,WYEMLYFITZORAB-UHFFFAOYSA-N,C18H12Cl2N2O,342.0326684,5.11,6.61,5.67,3.79,6.01,4,3.1,3.23,4.76,5.62,3.34,0.10,0,342.033@9.727,2.56,2.34,2.93,1.65,2.76,1.91,1.56,1.50,1.99,2.26,1.38,2.02,2.23,2.09,1.86,2.03,1.95,1.52,1.63,2.00,2.38,1.63,0.38,1.66,0.86,-0.74,1.15,-0.56,-1.33,-1.22,0.09,0.82,-1.12,0.33,1.16,0.61,-0.32,0.36,0.03,-1.68,-1.23,0.22,1.75,-1.22,0.79
36,3.628,277.0389850319,277,207,120,119,0,187,0,21844.5,24116.5,28306,41417.5,27315.5,41298.5,38740,42546.5,28185,37430.5,42867,39592,39540,41777,41155,43381.5,43566.5,44127.5,42859.5,42964,43289,42675,17747.5,15423.5,13471,-262.5,16066,2268,5387.5,313,14779,5858.5,-192,-0.0902049237221136,-0.194131341580055,-0.322478666197608,,-0.230501391893856,-1.26029122774175,-0.856772333214304,-2.13331950200445,-0.280372990021252,-0.805439194239849,,2,42266.0909090909,1492.67523439357,3.53161411970681,1,32916.1317366058,14748.084738864,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4020119,446-86-6,Azathioprine,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,LMEKQMALGUDUQG-UHFFFAOYSA-N,C9H7N7O2S,277.038193667,2D-QSAR-Ready,DTXCID00119,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,LMEKQMALGUDUQG-UHFFFAOYSA-N,C9H7N7O2S,277.038193667,-0.02,0.91,-0.9,-5.35,-1.09,-3.13,-5.93,-5.94,-1.52,-2.46,-5.82,2.86,0,277.039@3.628,0.00,0.11,-0.21,-1.92,0.03,-1.23,-2.23,-1.79,0.16,-0.87,-1.84,-0.09,-0.19,-0.32,-1.92,-0.23,-1.26,-0.86,-2.13,-0.28,-0.81,-1.84,1.16,1.54,0.80,-1.03,0.72,-0.12,-1.27,-1.27,0.54,0.16,-1.22,1.11,0.97,0.79,-1.39,0.92,-0.49,0.06,-1.68,0.85,0.13,-1.27,0.77
30,9.449,247.0406450319,247,135,109,412,387,137,141,329.5,185.5,204.5,18761.5,854,694.5,38235.5,23102,894.5,1379.5,22483.5,76650.5,105763,103345.5,104213,108624.5,102963.5,108439,107441.5,73133,105607,102450,76321,105577.5,103141,85451.5,107770.5,102269,70203.5,84339.5,72238.5,104227.5,79966.5,2.36478863317005,2.75522746005163,2.70273802543488,0.65845213295617,2.10104202707705,2.16807175930598,0.263891990681794,0.562381442487951,1.90718837456587,1.87826061609211,0.551044169432688,0,99875.5,11970.479482688,11.9854013073156,1,47314.9320689183,47794.1965650169,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID9037749,4638-48-6,5-Chlorosalicylanilide,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=CC=C1,KGYNGVVNFRUOOZ-UHFFFAOYSA-N,C13H10ClNO2,247.0400063,2D-QSAR-Ready,DTXCID7017749,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=CC=C1,KGYNGVVNFRUOOZ-UHFFFAOYSA-N,C13H10ClNO2,247.0400063,3.69,4.83,2.33,0.39,2.83,1.12,0,-0.02,3.2,2.44,0.23,2.59,0,247.041@9.449,2.49,2.68,2.71,0.90,2.69,1.24,0.57,0.53,1.69,2.04,0.43,2.36,2.76,2.70,0.66,2.10,2.17,0.26,0.56,1.91,1.88,0.55,1.12,1.84,0.26,-0.96,0.58,-0.50,-1.20,-1.22,0.81,0.33,-1.06,0.83,1.27,1.21,-1.09,0.53,0.61,-1.53,-1.20,0.31,0.28,-1.21,0.75
10,8.13,180.0795850319,180,13525,5439,10550,3123,10981,8070,8970,6680,11589.5,36751.5,9995,11154.5,44481.5,39138,5559.5,12458,40807.5,38735.5,47792,51801.5,48173,51430.5,50685.5,50548,47716,47957.5,54364.5,51660.5,29765.5,41112,40212,11421.5,41435.5,39531,6066.5,8578,42398,41906.5,10853,0.520920739170981,0.789192142201571,0.540290974064686,-0.507551925266307,0.617589785365882,0.54948769283287,-0.86524122211481,-0.659212587003077,0.882309635954091,0.526833063855235,-0.575190186287547,0,49169.5,3870.30243121786,7.87134795191707,1,31427.7038143382,19199.8906180851,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4022527,94-13-3,Propylparaben,CCCOC(=O)C1=CC=C(O)C=C1,QELSKZZBTMNZEB-UHFFFAOYSA-N,C10H12O3,180.078644246,2D-QSAR-Ready,DTXCID602527,CCCOC(=O)C1=CC=C(O)C=C1,QELSKZZBTMNZEB-UHFFFAOYSA-N,C10H12O3,180.078644246,3.27,3.71,2.22,0.6,2.54,1.01,0.49,0.37,2.89,2.11,0.58,5.22,0,180.08@8.13,1.51,1.43,1.38,-0.47,1.13,0.18,-0.55,-0.66,0.59,0.48,-0.79,0.52,0.79,0.54,-0.51,0.62,0.55,-0.87,-0.66,0.88,0.53,-0.58,1.25,1.63,0.36,-1.02,0.63,-0.67,-1.12,-1.22,0.93,0.27,-1.04,0.56,0.99,0.59,-1.06,0.72,0.61,-1.63,-1.30,1.13,0.57,-1.17,0.74
35,9.872,270.0623950319,270,0,366,370,105,305,171,313,361,201.5,61591,227.5,164,67292.5,65475,241,353.5,67094,51288,131719.5,147180,135482.5,137388,134585,140719,137942,77575,137397.5,138847.5,50975,131358.5,146978.5,73891.5,137160.5,134421,73426.5,72467,77334,137044,71753.5,2.21181289690373,2.56095097863217,2.86297876036452,0.0790772274284107,2.78024765861429,2.91362327388201,0.0378861641281253,0.0440647756034588,2.50635343149818,2.58847060806925,0.029159405635214,0,124556.727272727,29127.9051054948,23.3852524414172,0,64109.9242128858,60778.1241875445,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID9023201,75706-12-6,Leflunomide,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,VHOGYURTWQBHIL-UHFFFAOYSA-N,C12H9F3N2O2,270.061612027,2D-QSAR-Ready,DTXCID103201,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,VHOGYURTWQBHIL-UHFFFAOYSA-N,C12H9F3N2O2,270.061612027,2.59,3.36,2.92,0.81,3.1,1.28,0.55,0.48,2.39,2.35,0.58,2.90,0,270.062@9.872,2.31,3.23,2.85,0.86,2.90,0.99,0.37,0.44,1.47,2.07,0.42,2.21,2.56,2.86,0.08,2.78,2.91,0.04,0.04,2.51,2.59,0.03,0.68,1.40,0.99,-0.97,1.16,-0.54,-1.22,-1.28,0.50,0.46,-1.19,0.41,0.69,0.93,-1.28,0.87,0.97,-1.32,-1.31,0.65,0.71,-1.32,0.73
20,9.369,217.0066950319,217,117,114,123,233,198,267,298.5,437,114.5,24717.5,387,386,36287,29387.5,186.5,878,30423,38855.5,96589,101356,98799.5,97422.5,98721.5,105496.5,102312,57475,103118,102128.5,38557,96152,101241.5,74082,97035.5,98335.5,69209.5,72924.5,57288.5,102240,71705.5,2.11115889997985,2.34247688519669,2.94655308439048,0.476708155700437,2.39921968299538,2.40612302568177,0.280414646996698,0.394710817971568,2.48738861500609,2.06612632490822,0.372350431035969,0,91115.8181818182,20784.1989176576,22.810747170358,0,44178.1515980141,44744.2373917272,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID8022111,709-98-8,Propanil,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,LFULEKSKNZEWOE-UHFFFAOYSA-N,C9H9Cl2NO,217.0061193,2D-QSAR-Ready,DTXCID102111,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,LFULEKSKNZEWOE-UHFFFAOYSA-N,C9H9Cl2NO,217.0061193,3.25,3.8,3.27,1.75,3.46,2.04,1.5,1.46,2.92,3.03,1.54,2.65,0,217.007@9.369,2.44,2.87,2.71,0.96,2.78,1.17,0.60,0.62,1.49,2.08,0.55,2.11,2.34,2.95,0.48,2.40,2.41,0.28,0.39,2.49,2.07,0.37,0.83,1.47,0.85,-0.94,1.07,-0.60,-1.23,-1.28,0.44,0.57,-1.18,0.45,0.69,1.29,-1.19,0.74,0.75,-1.39,-1.28,0.83,0.41,-1.30,0.73
14,0.684,210.0175450319,210,3639,4544,351,404,144,376,13214,14164.5,16378,15116,21497.5,14780,15020,19089,15088,15522.5,13421.5,12456,14108,16999,14367.5,19999.5,14185,15559,16970.5,14615,16276.5,14320,-758,-56.5,621,-748.5,-1498,-595,539,-2118.5,-473,754,898.5,,,-1.42116926660096,,,,-1.44508116748141,,,-1.31359032264825,-1.17428297427759,7,15441.4545454545,1945.03114551536,12.5961653404466,1,13679.0874968884,5337.78053031902,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID3021487,528-44-9,"1,2,4-Benzenetricarboxylic acid",OC(=O)C1=CC(C(O)=O)=C(C=C1)C(O)=O,ARCGXLSVLAOJQL-UHFFFAOYSA-N,C9H6O6,210.016437913,2D-QSAR-Ready,DTXCID101487,OC(=O)C1=CC(C(O)=O)=C(C=C1)C(O)=O,ARCGXLSVLAOJQL-UHFFFAOYSA-N,C9H6O6,210.016437913,1.19,1.26,-2.63,-5.76,-2.43,-4.07,-5.78,-5.99,0.03,-3.3,-5.63,5.27,0,210.018@0.684,3.21,1.35,-2.47,-1.54,-1.99,-1.09,-0.93,-1.30,1.89,,,3.21,1.35,-1.42,-1.54,-1.99,-1.09,-1.45,-1.30,1.89,-1.31,-1.17,1.58,1.61,0.14,-1.03,0.22,-0.40,-1.04,-1.12,1.14,-0.11,-0.99,2.21,1.08,-0.59,-0.67,-0.94,-0.39,-0.61,-0.52,1.41,-0.53,-0.45,0.69
55,9.605,432.1774750319,432,2641,2439,884,1223,878,1580,1964,1398,1185.5,2777.5,1590.5,2612,1940.5,3231,1631,2392.5,2290,1223.5,2715,1936.5,2917,1544.5,1899.5,2494.5,3292,1996,2287,2559.5,-740.5,1317,751,139.5,-46,-712.5,554,61,365,-105.5,269.5,,-0.0259213964478787,-0.198261621310038,-1.29907986000329,,,-0.544403882347604,-1.72400712300688,-0.650161096583801,,-0.92927671281713,4,2260.45454545454,583.071508734152,25.7944363405416,0,2431.0741966098,2414.58957762954,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID7047356,473289-62-2,Ilepatril,CC(C)[C@H](SC(C)=O)C(=O)N[C@H]1CC2=C(C=CC=C2)[C@H]2CCC[C@H](N2C1=O)C(O)=O,FXKFFTMLFPWYFH-RDGPPVDQSA-N,C22H28N2O5S,432.171893184,2D-QSAR-Ready,DTXCID40210227,CC(C)C(SC(C)=O)C(=O)NC1CC2=C(C=CC=C2)C2CCCC(N2C1=O)C(O)=O,FXKFFTMLFPWYFH-UHFFFAOYSA-N,C22H28N2O5S,432.171893184,2.66,4.08,2.34,-2.4,2.32,-1.01,-3.09,-3.07,1.85,0.68,-2.86,12.92,0,432.177@9.605,-0.35,-0.27,-0.22,-1.51,0.22,-0.99,-1.36,-1.00,1.36,-0.55,-1.37,-0.35,-0.03,-0.20,-1.30,0.22,-0.99,-0.54,-1.72,-0.65,-0.55,-0.93,0.99,1.54,0.86,-0.99,0.85,-0.45,-1.26,-1.25,0.67,0.21,-1.17,0.54,1.13,0.81,-1.22,1.59,-0.65,0.18,-2.00,-0.02,0.17,-0.53,0.63
27,3.931,240.0578150319,240,97,171,411,172,278,457,50921,50597,56772.5,52549.5,56687,52520.5,53600,51175,56251.5,51107,52582,52311,51009,56111.5,50234,53313.5,54018.5,54378.5,50766.5,55429,54957.5,52852.5,1390,412,-661,-2315.5,-3373.5,1498,778.5,-408.5,-822.5,3850.5,270.5,-1.56388212360061,-2.08922755135864,,,,-1.54481703859717,-1.83790617278863,,,-1.12296326072792,-2.28866983139289,5,53216.5,1883.74404746601,3.53977440730979,1,45932.8918443568,18504.65935771,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID0023901,25057-89-0,Bentazone,CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,C10H12N2O3S,240.056863428,2D-QSAR-Ready,DTXCID503901,CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,C10H12N2O3S,240.056863428,2.88,3.67,3.93,2.16,3.99,2.5,1.76,1.8,2.6,3.42,1.78,3.96,0,240.058@3.931,-1.24,-1.28,-0.36,-2.20,-0.65,-0.86,-2.17,-2.22,-1.56,-2.06,-2.47,-1.56,-2.09,-0.36,-2.20,-0.65,-1.54,-1.84,-2.22,-1.56,-1.12,-2.29,0.13,1.09,1.40,-0.74,1.48,-0.33,-1.23,-1.18,-0.21,0.79,-1.20,0.04,-0.82,1.98,-0.99,1.52,0.07,-0.41,-1.03,0.04,0.75,-1.14,0.60
51,13.428,397.1536650319,397,27362,27014,20850,24287,22767,25737,31582,29299,33880.5,29265,31281,28420.5,28541.5,29612.5,27756,29277.5,26534,28555.5,28906.5,24328,28056,37151.5,28752,28982.5,20946,21508.5,21752.5,25649,-3026.5,-392.5,-9552.5,-1209,5870.5,331.5,441,-8666.5,-6247.5,-7525,-885,,,,,-0.726605535872703,-1.93314818143232,-1.81103820427941,,,,,8,26780.7272727273,4472.15490748352,16.6991540668047,0,28797.4590035233,8918.95750395558,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID5047291,NOCAS_47291,CI-1044,NC1=CC2=C3N(CCC3=C1)C(=O)[C@H](NC(=O)C1=CC=CN=C1)N=C2C1=CC=CC=C1,XGXOSJSGDNPEEF-NRFANRHFSA-N,C23H19N5O2,397.153874872,2D-QSAR-Ready,DTXCID90210212,Nc1cc2CCN3c2c(c1)C(=NC(NC(=O)c1cccnc1)C3=O)c1ccccc1,XGXOSJSGDNPEEF-UHFFFAOYSA-N,C23H19N5O2,397.153874872,1.85,2.11,1.81,-2.11,0.86,-0.42,-3.15,-2.75,-0.04,-0.18,-3.06,0.53,0,397.154@13.428,0.82,-0.25,-0.62,-2.30,,,,-2.15,0.58,-1.58,-2.02,0.82,-0.25,-0.62,-2.30,-0.73,-1.93,-1.81,-2.15,0.58,-1.58,-2.02,1.20,1.33,1.18,-0.85,0.68,0.02,-1.39,-1.18,0.22,0.15,-1.34,1.80,0.79,0.45,-1.14,0.34,-0.79,-0.68,-1.00,1.57,-0.46,-0.87,0.60
28,4.199,245.9932850319,246,13664,12472,8855,7671,22940,12583,26321.5,32432,16270.5,19766,41021,20041.5,29691,10296.5,18009,26962,31663,28066,21742,26606.5,29872.5,23180.5,25834,18379.5,28222,19284,25624.5,23457,1744.5,-10690,10336,10106.5,-17840.5,5792.5,-11311.5,17925.5,1275,-1337.5,-8206,-1.17863966127787,,-0.197048398561474,-0.291318010695908,,-0.539064180588672,,0.240781654551262,-1.14997941330556,,,5,24569.8636363636,3541.49139161166,14.4139643753261,1,22881.9051250383,9858.9974675532,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID7029166,135-76-2,Sodium 6-hydroxynaphthalene-2-sulfonate,[Na+].OC1=CC2=C(C=C1)C=C(C=C2)S([O-])(=O)=O,ZPWQALCOMQRMRK-UHFFFAOYSA-M,C10H7NaO4S,245.99627416,2D-QSAR-Ready,DTXCID0027014,OC1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O,VVPHSMHEYVOVLH-UHFFFAOYSA-N,C10H8O4S,224.014329912,0.56,1.55,-0.83,-4.22,-0.66,-2.45,-4.58,-4.66,-0.36,-1.69,-4.47,12.15,0,245.993@4.199,-0.35,-1.58,-0.31,-0.66,-0.53,0.04,-0.31,-1.41,-0.57,-0.76,-0.66,-1.18,-1.58,-0.20,-0.29,-0.53,-0.54,-0.31,0.24,-1.15,-0.76,-0.66,1.19,1.66,0.54,-1.05,0.62,-0.22,-1.22,-1.25,0.76,0.14,-1.17,-1.11,-1.92,0.88,0.69,0.20,0.19,0.66,1.77,-1.05,-0.27,-0.05,0.59
47,11.403,352.2157150319,352,566,709,2432,105,1287,940,3562,1777.5,2291,5873,2364,18807.5,13938,11345.5,1987,877,13765,19023,122092,128947.5,127902,102500.5,118932,124130.5,118179.5,34856.5,121329.5,117972,15461,120314.5,126656.5,122029,100136.5,100124.5,110192.5,106834,32869.5,120452.5,104207,0.637543665039607,1.83050836116752,1.7426023934622,1.31760305149835,1.62694493553222,0.726209289834196,0.897951576079083,0.973885849086128,1.21859523067754,2.13781622487399,0.879120677507328,0,103260.454545455,36734.8465631839,35.5749417576052,0,47913.9795524747,54642.4548878484,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID4034948,112410-23-8,Tebufenozide,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,QYPNKSZPJQQLRK-UHFFFAOYSA-N,C22H28N2O2,352.21507815,2D-QSAR-Ready,DTXCID2014948,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,QYPNKSZPJQQLRK-UHFFFAOYSA-N,C22H28N2O2,352.21507815,6.01,7.55,6.7,4.87,7.17,4.57,4.31,4.37,6.24,6.61,4.55,1.81,0,352.216@11.403,2.24,1.92,2.53,0.89,2.44,1.51,0.83,0.74,1.66,1.61,0.69,0.64,1.83,1.74,1.32,1.63,0.73,0.90,0.97,1.22,2.14,0.88,0.25,1.58,0.84,-0.74,1.25,-0.99,-1.22,-1.17,0.45,0.77,-1.01,-1.33,1.17,0.99,0.10,0.75,-1.14,-0.78,-0.63,-0.11,1.82,-0.82,0.56
54,11.619,427.8849650319,428,3621,4384,4632,3577,4228,4061,4968,4210.5,5500,5239.5,4867,5342,4933.5,4676.5,4998.5,4920.5,5106.5,5390.5,5193.5,5689,5130.5,5359,5627,4878,4366.5,5642,5010.5,4859.5,422.5,983,189,-109,492,285,-55.5,-310,643.5,90,-247,-1.07035487388281,-0.631780153857985,-1.463900885321,,-0.995296243476146,-1.27285902367684,,,-0.890291145203881,-1.7377667267036,,4,5195.09090909091,385.327417929563,7.41714485217723,1,5404.83567421109,3204.65530927323,BF00173504,EPA_MIXTURE_006,20,mM,20,mM,DMSO,DTXSID9026261,13674-87-8,"Tris(1,3-dichloro-2-propyl) phosphate",ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,ASLWPAWFJZFCKF-UHFFFAOYSA-N,C9H15Cl6O4P,427.8839122,2D-QSAR-Ready,DTXCID206261,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,ASLWPAWFJZFCKF-UHFFFAOYSA-N,C9H15Cl6O4P,427.8839122,3.34,5.3,5.84,2.87,6.29,3,2.42,2.32,3.86,4.98,2.5,2.46,0,427.885@11.619,-0.53,-0.42,-0.54,-2.96,-0.93,-2.11,-2.99,-3.11,-1.33,-1.76,-3.14,-1.07,-0.63,-1.46,-2.96,-1.00,-1.27,-2.99,-3.11,-0.89,-1.74,-3.14,-0.39,1.01,1.40,-0.73,1.72,-0.63,-1.05,-1.12,-0.02,0.79,-0.99,0.81,1.27,0.40,-1.17,0.89,0.60,-1.20,-1.33,1.00,0.11,-1.36,0.49
