Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	pos_1-octl_1	pos_1-octl_2	pos_1-octlW_1	pos_1-octlW_2	pos_butac_1	pos_butac_2	pos_butacW_1	pos_butacW_2	pos_chlor_1	pos_chlor_2	pos_chlorW_1	pos_chlorW_2	pos_chx_1	pos_chx_2	pos_chxW_1	pos_chxW_2	pos_dcm_1	pos_dcm_2	pos_dcmW_1	pos_dcmW_2	pos_DIWB_1	pos_DIWB_2	pos_glyctriol_1	pos_glyctriol_2	pos_glyctriolW_1	pos_glyctriolW_2	pos_hx_1	pos_hx_2	pos_hxW_1	pos_hxW_2	pos_no injection_1	pos_no injection_2	pos_no injection_3	pos_no injection_4	pos_octn_1	pos_octn_2	pos_octnW_1	pos_octnW_2	pos_olalc_1	pos_olalc_2	pos_olalcW_1	pos_olalcW_2	pos_test injection	pos_tol_1	pos_tol_2	pos_tolW_1	pos_tolW_2	pos_undec_1	pos_undec_2	pos_undecW_1	pos_undecW_2	Average	Stdev
10	0.778	101.05952	Unknown	[M+H]+		0.078	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.84	pos_olalc_2	101.05952:3543 102.06287:1333 103.06623:0		11357	11126	8033	4624	3235	3600	11235	8850	11135	10556	11115	10572	3773	7504	4332	5882	12782	12374	12947	7901	609	446	14463	15288	12667	11048	5992	7842	10580	5496	99	643	158	140	5285	10604	12021	10821	16419	17371	10027	6358	288	17144	15154	15187	12118	8779	9713	4679	4877	8534.28531123143	4882.23125612004
11	7.245	101.05953	Unknown	[M+H]+	similar chromatogram in higher mz_914	0.627	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9	pos_undec_2	101.05953:5466 102.06288:228 103.06624:547		37444	49101	62547	60697	21986	44677	62044	29325	46005	50873	34331	32440	61951	27065	56512	60448	45394	48429	32405	50327	56610	55599	54371	61999	29445	52647	63200	65119	60163	55122	49202	47208	40966	18203	35201	54109	21669	59736	57294	61522	61524	63388	53481	53677	55507	59012	57357	58877	46770	36354	54657	49293.9182751226	12598.1776046787
12	6.053	101.05976	Unknown	[M+H]+	similar chromatogram in higher mz_1797	1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	16.98	pos_undecW_2	101.05976:9488 102.06311:1187 103.06647:1117		87300	82349	85908	83507	86639	80782	85061	82997	74830	77875	81268	85327	91040	79946	92408	92210	79094	81876	86060	84937	78658	80602	81588	92613	91131	88816	99980	95356	92644	92783	71345	74930	71485	75620	86554	84987	81122	79024	89497	94279	91747	90964	72070	78943	82862	85984	85371	92850	98904	87100	95850	85236.7939644608	6982.17323521639
13	8.323	101.05983	Unknown	[M+H]+	similar chromatogram in higher mz_2008; similar chromatogram in higher mz_1394; similar chromatogram in higher mz_2086; similar chromatogram in higher mz_2290	0.039	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.28	pos_hx_2	101.05983:4417 102.06318:0 103.06654:876		15778	16485	20426	12098	3331	2987	13660	17086	1253	2581	7888	7701	14657	10316	15752	14138	7143	8075	11965	12468	3000	4617	18018	15363	10104	11627	25120	23757	10591	10060	2928	5714	5297	2580	14323	14233	14369	11283	6530	12251	9315	7874	3176	4478	3798	11187	8514	15380	13998	7705	8199	10415.2020622702	5588.6418494653
14	4.083	101.09605	Unknown	[M+H]+	ion correlated with 401; ion correlated with 418; ion correlated with 1503; ion correlated with 1152; ion correlated with 1850; ion correlated with 3303; ion correlated with 2474; ion correlated with 395; ion correlated with 2786; ion correlated with 2832; ion correlated with 670; similar chromatogram in higher mz_3303; similar chromatogram in higher mz_2459	0.078	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	25	pos_1-octl_1	101.09605:15334 102.0994:1567 103.10276:0		84625	83851	60303	58874	614	240	337	380	247	117	288	160	392	566	99	109	306	697	145	121	148	374	261	512	322	222	925	120	350	122	561	313	173	176	119	197	166	321	137	179	299	233	96	112	162	381	0	302	246	150	200	5889.26514060825	19764.1746224075
15	3.528	101.0964	Unknown	[M+H]+	ion correlated with 240; ion correlated with 659; ion correlated with 2472; ion correlated with 1499; ion correlated with 1848	0.059	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.75	pos_1-octl_2	101.0964:4865 102.09975:891 103.10311:0		21685	23045	14250	14993	0	0	152	212	142	164	117	115	388	147	207	355	152	357	709	483	151	386	415	0	261	97	107	353	230	115	226	104	110	144	181	118	394	215	260	295	362	143	289	143	200	297	165	398	106	183	113	1651.58034111472	5085.61319823699
16	2.327	102.055	w/o MS2:1-Aminocyclopropane-1-carboxylic acid; LC-ESI-QTOF; MS2; CE	[M+H]+	ion correlated with 1017; similar chromatogram in higher mz_1017; similar chromatogram in higher mz_686	0.333	False	null	102.05495	C4H7NO2	Alpha amino acids	PAJPWUMXBYXFCZ-UHFFFAOYSA-N	NC1(CC1)C(O)=O	530	True	True	False		False	False	null	null	100	null	null	null	null	37.55	pos_dcm_1	102.055:22291 103.05835:941 104.06171:342		16860	12953	3012	4415	71649	68513	5812	6764	54053	60098	18787	16739	8330	6740	1170	646	87720	87419	10108	9148	1002	1171	19932	19775	1437	1313	39164	38944	1858	1421	838	1059	921	1950	5195	5468	2301	1710	25412	25178	2056	1468	1173	48234	50407	3375	2541	6617	5959	1150	800	17073.8137865254	23875.7513812089
17	0.944	102.0913	w/o MS2:valeramide	[M+H]+	ion correlated with 112; ion correlated with 1472; ion correlated with 460; ion correlated with 173; ion correlated with 463; ion correlated with 455; ion correlated with 1318; ion correlated with 23; ion correlated with 319	0.078	False	null	102.09134	C5H11NO	Fatty amides	IPWFJLQDVFKJDU-UHFFFAOYSA-N	N=C(O)CCCC	530	True	True	False		False	False	null	null	100	null	null	null	null	38.61	pos_olalc_1	102.0913:16367 103.09465:1309 104.09801:800864		5360	4817	389	717	3181	900	747	643	2774	2642	868	1648	555	388	901	618	3323	1650	3464	736	639	930	686	611	1038	1105	2121	3179	607	703	168	308	791	601	122	701	1254	380	63390	54314	43134	44253	300	687	979	585	574	1035	608	1265	476	5173.78614238664	13828.3415617258
18	4.633	103.07538	w/o MS2:Isovaleric acid	[M+H]+	similar chromatogram in higher mz_1112; similar chromatogram in higher mz_1886; similar chromatogram in higher mz_2315; similar chromatogram in higher mz_1998; similar chromatogram in higher mz_130; similar chromatogram in higher mz_1588; similar chromatogram in higher mz_3179; similar chromatogram in higher mz_451; similar chromatogram in higher mz_2569; similar chromatogram in higher mz_1739; similar chromatogram in higher mz_3936	0.765	False	4.22	103.08	C5H10O2	Methyl-branched fatty acids	GWYFCOCPABKNJV-UHFFFAOYSA-N	O=C(O)CC(C)C	530	True	True	False		False	False	null	null	89.9	100	null	null	null	40.9	pos_DIWB_2	103.07538:19050 104.07873:2158 105.08209:742		58785	60755	51536	64010	80519	80592	82405	79894	18458	17790	19316	21313	76185	76879	81149	75012	19583	15871	19674	23304	102059	100605	71332	84589	81085	89927	72062	71046	69221	77092	14425	12096	31249	15109	70911	60058	68760	56802	76618	84431	78406	77146	64549	65219	70827	65081	67190	75360	74665	63041	76802	60995.9635608149	25401.1615615712
19	9.241	103.07543	w/o MS2:Isovaleric acid	[M+H]+	ion correlated with 2461; ion correlated with 3181; ion correlated with 3509; ion correlated with 3340; ion correlated with 964; ion correlated with 3961; ion correlated with 235; ion correlated with 4370; ion correlated with 1466; ion correlated with 2784; ion correlated with 4471; ion correlated with 439; ion correlated with 1237; ion correlated with 2189; ion correlated with 4341; ion correlated with 3370; ion correlated with 641; ion correlated with 1051; ion correlated with 1540; ion correlated with 1809; ion correlated with 1913; ion correlated with 2289; ion correlated with 3093; ion correlated with 3166; ion correlated with 4088; ion correlated with 4305; ion correlated with 4493; ion correlated with 4611; ion correlated with 174; ion correlated with 3777; ion correlated with 2875; similar chromatogram in higher mz_4542	0.078	False	4.22	103.08	C5H10O2	Methyl-branched fatty acids	GWYFCOCPABKNJV-UHFFFAOYSA-N	O=C(O)CC(C)C	530	True	True	False		False	False	null	null	90.1	99.9	null	null	null	18.5	pos_glyctriol_2	103.07543:7500 104.07878:0 105.08214:1612		2069	2178	1489	1661	1591	673	2353	2170	1609	2014	1210	1311	1862	2161	1581	1462	1385	3576	1492	1689	2437	2476	47361	44417	28278	29761	2349	2350	962	3255	650	1490	1874	1841	2893	1752	2648	1580	685	2086	1739	2546	1155	3759	1181	822	1562	1727	2017	1456	1756	4635.33764768114	9986.83252245631
20	2.916	104.07057	w/o MS2:gamma-Aminobutyric acid	[M+H]+	similar chromatogram in higher mz_1462; similar chromatogram in higher mz_1365; similar chromatogram in higher mz_46; similar chromatogram in higher mz_2089; similar chromatogram in higher mz_1096; similar chromatogram in higher mz_1595; similar chromatogram in higher mz_2694	0.275	False	null	104.0706	C4H9NO2	Gamma amino acids and derivatives	BTCSSZJGUNDROE-UHFFFAOYSA-N	O=C(O)CCCN	530	True	True	False		False	False	null	null	100	null	null	null	null	23.22	pos_butac_1	104.07057:14591 105.07392:1016 106.07728:355		38798	37773	1341	2556	58750	53830	3858	2662	31502	32928	8750	8070	5590	4385	839	694	37080	36391	3961	4459	387	764	11350	12971	182	376	32698	35024	787	1046	283	959	634	653	3704	3369	845	493	15442	16991	515	658	317	35652	36848	1335	392	3431	3447	193	608	11697.4568960152	16213.7457725917
21	2.237	104.07096	w/o MS2:Dimethylglycine; CE0; FFDGPVCHZBVARC-UHFFFAOYSA-N	[M+H]+	ion correlated with 743; ion correlated with 1530; similar chromatogram in higher mz_743	0.039	False	7.713	104.07061	C4H9NO2	Alpha amino acids	FFDGPVCHZBVARC-UHFFFAOYSA-N	CN(C)CC(=O)O	530	True	True	False		False	False	null	null	99.9	99.8	null	null	null	7.66	pos_dcm_2	104.07096:3701 105.07431:408 106.07767:637		398	791	558	562	571	664	480	728	697	654	314	408	199	649	274	164	15726	16824	13929	14173	871	614	242	334	331	260	862	458	243	1104	867	1267	372	336	445	1373	797	629	578	653	267	1160	231	249	544	455	651	349	142	101	922	1695.51045855354	3992.38378294863
22	1.107	104.10677	w/o MS2:Choline; CE0; OEYIOHPDSNJKLS-UHFFFAOYSA-N	[M+H]+		0.137	False	7.638	104.10699	C5H14NO	Cholines	OEYIOHPDSNJKLS-UHFFFAOYSA-N	C[N+](C)(C)CCO	530	True	True	False		False	False	null	null	100	99.8	null	null	null	9.79	pos_1-octl_1	104.10677:7001 105.11012:265 106.11348:0		47548	36360	32563	29784	38598	38288	27619	29975	22005	30829	20041	21939	24813	20894	24441	24424	23464	22907	22974	25627	11322	15265	19853	21682	32246	25282	29053	28385	26396	26033	3291	6551	4660	6645	21698	22751	25649	20611	385231	343864	115039	123091	2443	50965	18818	21150	27180	23304	21415	29351	25501	41172.8183689491	69328.539889256
23	0.98	104.10749	w/o MS2:Choline; CE0; OEYIOHPDSNJKLS-UHFFFAOYSA-N	[M+H]+	ion correlated with 1105; similar chromatogram in higher mz_3651	0.157	False	7.638	104.10699	C5H14NO	Cholines	OEYIOHPDSNJKLS-UHFFFAOYSA-N	C[N+](C)(C)CCO	530	True	True	False		False	False	null	null	99.9	99.8	null	null	null	2781.29	pos_olalc_1	104.10749:3552498 105.11084:217195 106.1142:12149		33433	31442	36652	25647	21709	21625	29226	31960	26529	21139	14435	18939	15524	9723	20175	15799	21916	26172	29200	24197	18272	25347	26346	20793	12381	12878	17353	16748	13922	13927	3313	9742	9099	4733	14203	16728	15780	14845	15817920	15683361	5511740	5549382	14537	450345	490573	26918	22039	24233	22216	19635	19580	870477.056707644	3222324.05543407
24	0.853	104.99252	Unknown	[M+H]+	similar chromatogram in higher mz_2348; similar chromatogram in higher mz_4163; similar chromatogram in higher mz_4531; similar chromatogram in higher mz_1023; similar chromatogram in higher mz_3497; similar chromatogram in higher mz_4758; similar chromatogram in higher mz_1645; similar chromatogram in higher mz_2706; similar chromatogram in higher mz_2611; similar chromatogram in higher mz_4594; similar chromatogram in higher mz_4281; similar chromatogram in higher mz_4620; similar chromatogram in higher mz_3763; similar chromatogram in higher mz_4812; similar chromatogram in higher mz_387; similar chromatogram in higher mz_570; similar chromatogram in higher mz_4242; similar chromatogram in higher mz_4946; similar chromatogram in higher mz_3666; similar chromatogram in higher mz_4934; similar chromatogram in higher mz_5024; similar chromatogram in higher mz_5103; similar chromatogram in higher mz_5011; similar chromatogram in higher mz_4124; similar chromatogram in higher mz_4572; similar chromatogram in higher mz_4510; similar chromatogram in higher mz_4832; similar chromatogram in higher mz_4962; similar chromatogram in higher mz_2077; similar chromatogram in higher mz_3086; similar chromatogram in higher mz_4420; similar chromatogram in higher mz_4853; similar chromatogram in higher mz_3901; similar chromatogram in higher mz_4358; similar chromatogram in higher mz_4698; similar chromatogram in higher mz_3271; similar chromatogram in higher mz_4390; similar chromatogram in higher mz_3960; similar chromatogram in higher mz_4472; similar chromatogram in higher mz_1940; similar chromatogram in higher mz_4642; similar chromatogram in higher mz_4749; similar chromatogram in higher mz_4966; similar chromatogram in higher mz_4787; similar chromatogram in higher mz_4861; similar chromatogram in higher mz_5076; similar chromatogram in higher mz_5037; similar chromatogram in higher mz_4923; similar chromatogram in higher mz_4968; similar chromatogram in higher mz_4602; similar chromatogram in higher mz_5006; similar chromatogram in higher mz_4476; similar chromatogram in higher mz_4855	0.922	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	300.66	pos_chlor_2	104.99252:89952 105.99587:2659 106.99923:828		288464	296547	314000	304834	315187	313303	290785	290699	301326	315433	325724	327968	301905	299907	281239	265071	307091	298495	315603	321809	252473	260311	273359	282687	297089	288279	314610	310194	298507	289565	4021	7897	4486	4633	288167	292230	288895	278658	286707	289687	296546	293947	130149	272972	278864	289082	285850	314254	309922	299916	303804	269865.703101065	82867.5638095843
25	8.05	105.03326	Unknown	[M+H]+		0.333	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	11.12	pos_olalcW_1	105.03326:8097 106.03661:753 107.03997:272		43647	39899	45592	46194	40807	43159	48644	46247	37731	41118	41370	42623	42960	43496	43774	41108	36769	39340	46176	45206	41718	38981	43199	42675	45008	44283	43595	45304	45358	45880	43947	39732	41355	38064	40248	42948	43640	45308	48125	43323	56677	55790	49822	39856	39778	42440	41523	41670	42091	48243	48747	43631.0824908088	3909.19332860673
26	6.262	105.03357	Unknown	[M+H]+	similar chromatogram in higher mz_476; similar chromatogram in higher mz_1755; similar chromatogram in higher mz_1385; similar chromatogram in higher mz_3051; similar chromatogram in higher mz_3442	1	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	28.15	pos_hx_1	105.03357:20263 106.03692:2376 107.04028:0		104327	102444	87302	87129	73088	78494	87182	92460	79982	69220	85374	81660	92277	88443	92028	82525	71074	76194	91440	92755	74241	84115	96889	98012	75737	78507	112217	112575	87386	98403	82631	73276	70611	71536	87782	83699	94689	82351	87096	81308	100373	99894	79903	87810	87252	86048	81517	99156	98886	97983	94270	87481.3650428922	10446.6947121325
27	12.831	105.03377	Unknown	[M+H]+		0.804	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.2	pos_test injection	105.03377:6698 106.03712:721 107.04048:205		58208	61370	63556	57485	54181	63385	61271	58144	48536	49437	54233	53970	53534	50071	53735	49906	53982	45389	54031	49900	43199	60898	56284	40037	57158	52200	60460	57702	52753	58587	71094	64281	44490	47821	41083	55281	50718	45488	53280	41542	56562	34095	70298	59205	52096	59284	59183	57178	60322	58942	38143	53999.8378523284	7716.59423096855
28	8.29	105.06963	w/o MS2:Styrene	[M+H]+	ion correlated with 205; ion correlated with 1442; ion correlated with 3045; ion correlated with 3127; ion correlated with 3556	0.039	False	null	105.06988	C8H8	Styrenes	PPBRXRYQALVLMV-UHFFFAOYSA-N	C=CC=1C=CC=CC1	530	True	True	False		False	False	null	null	100	null	null	null	null	6.3	pos_olalc_1	105.06963:5691 106.07298:1465 107.07634:3226		3522	3315	3932	5939	3896	7940	5990	4651	4283	3983	2904	5405	2732	3228	4810	2452	6458	6061	4640	5645	5412	7557	6191	11071	3888	1969	3084	2111	4544	3767	1937	2416	2178	3523	7331	4291	3002	3815	51768	43022	28843	21147	4285	2809	4138	5623	3244	3801	4045	7070	5093	6956.1754246132	9415.5163807466
29	12.462	105.06976	w/o MS2:Styrene	[M+H]+	ion correlated with 69; ion correlated with 3264; ion correlated with 3755; ion correlated with 48; ion correlated with 546; ion correlated with 1352; ion correlated with 2804; ion correlated with 3463; ion correlated with 3356; ion correlated with 1074; ion correlated with 336; ion correlated with 2129; ion correlated with 3781; ion correlated with 3824; ion correlated with 4072	0.039	False	null	105.06988	C8H8	Styrenes	PPBRXRYQALVLMV-UHFFFAOYSA-N	C=CC=1C=CC=CC1	530	True	True	False		False	False	null	null	100	null	null	null	null	14.35	pos_1-octlW_1	105.06976:8611 106.07311:2940 107.07647:9869		5580	6599	52062	50950	3793	4576	7830	7716	6029	3287	8866	6805	4363	5801	5287	3704	3905	4002	4079	4592	7777	6916	7176	3006	8444	2567	4793	3566	4416	9836	1945	6883	3824	7897	4567	5712	11514	4145	4945	6524	4498	5760	5092	8847	5974	6993	5577	3823	6494	2865	5688	7409.61762312347	9209.06524392422
30	6.44	105.06979	w/o MS2:Styrene	[M+H]+	ion correlated with 1976; ion correlated with 2229; ion correlated with 1580; ion correlated with 1235; ion correlated with 453; ion correlated with 976; ion correlated with 703; ion correlated with 1288; ion correlated with 1663; ion correlated with 2064	0.02	False	null	105.06988	C8H8	Styrenes	PPBRXRYQALVLMV-UHFFFAOYSA-N	C=CC=1C=CC=CC1	530	True	True	False		False	False	null	null	100	null	null	null	null	5.29	pos_olalc_2	105.06979:6069 106.07314:733 107.0765:6975		4944	5237	4486	3992	4679	5023	4347	7194	6136	5040	3158	2493	3599	4243	3556	4563	3307	2380	2181	3569	4942	3963	5564	5771	4562	11578	3007	7560	5211	2006	5477	5840	6856	4511	6912	5723	3622	6456	36264	41917	25867	24428	7027	2784	7816	3717	3982	3261	5043	8286	6003	7060.47053318398	7862.64710348789
